"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
li30_aptem_c,rotem,,text,li30_aptem_c,,,number,,,,,,,,,,
li45_fibtem_c,rotem,,text,li45_fibtem_c,,,number,,,,,,,,,,
li45_extem_c,rotem,,text,li45_extem_c,,,number,,,,,,,,,,
li45_intem_c,rotem,,text,li45_intem_c,,,number,,,,,,,,,,
li45_heptem_c,rotem,,text,li45_heptem_c,,,number,,,,,,,,,,
li45_aptem_c,rotem,,text,li45_aptem_c,,,number,,,,,,,,,,
li60_fibtem_c,rotem,,text,li60_fibtem_c,,,number,,,,,,,,,,
li60_extem_c,rotem,,text,li60_extem_c,,,number,,,,,,,,,,
li60_intem_c,rotem,,text,li60_intem_c,,,number,,,,,,,,,,
li60_heptem_c,rotem,,text,li60_heptem_c,,,number,,,,,,,,,,
li60_aptem_c,rotem,,text,li60_aptem_c,,,number,,,,,,,,,,
ml_fibtem_c,rotem,,text,ml_fibtem_c,,,number,,,,,,,,,,
ml_extem_c,rotem,,text,ml_extem_c,,,number,,,,,,,,,,
ml_intem_c,rotem,,text,ml_intem_c,,,number,,,,,,,,,,
ml_heptem_c,rotem,,text,ml_heptem_c,,,number,,,,,,,,,,
ml_aptem_c,rotem,,text,ml_aptem_c,,,number,,,,,,,,,,
possible_cardiac,rotem,,text,possible_cardiac,,,,,,,,,,,,,
fibtem_image,rotem,,file,"fibtem image",,,,,,,,,,,,,
aptem_image,rotem,,file,"aptem image",,,,,,,,,,,,,
intem_image,rotem,,file,"intem image",,,,,,,,,,,,,
heptem_image,rotem,,file,"heptem image",,,,,,,,,,,,,
extem_image,rotem,,file,"extem image",,,,,,,,,,,,,
